video_id,sentiment_score
TsYGNNPQ3ZU,0.0
GIn4CeZq7Nw,0.0
szs2GAYwMHo,0.25
AJkOHavUH_A,0.0
kOCkne-Bku4,0.0
OlJykKOuank,0.0
K6xwB8Kkce0,0.13636363636363635
AJ2xkh-6tL4,0.0
Gnxv9OH-giQ,0.0
qqs3fxfmWr4,0.0
77McSTzTgg8,0.175
W8vXDp7NuFs,0.0
C_SJgw5MVFY,0.5
P7zi6oQ4fPQ,0.0
7xhxjcejONk,0.0
J7wMOb0WIfQ,0.0
QJfL0a3qEKw,0.0
ZJDMWVZta3M,0.0
cH4E_t3m3xM,0.0
60nDlMw5vFQ,-0.1
LDVXOo_HXKU,0.5
_wS7seijyks,0.3
jGyUVyp9w9g,0.0
tr7I4vokl78,0.0
B4mK5OElAFQ,-0.9375
Y1n8F4uClUU,0.44999999999999996
ctx4YBEdOxo,0.0
dpeDxEb9yeg,-0.6
D818vkK10UQ,0.0
FZiCWBplZ90,0.0
nfbwPTsowEA,0.0
JLOFZoBJnd8,0.0
wJh-jurxmGQ,0.2333333333333333
MGanJGGVSrw,0.0
UB1cGaIW81I,0.0
iASe_veKR74,0.0
KGziD2V8Ppw,0.0
IeTTfquV0iE,0.0
QaASZecxQww,0.0
FvoPOdop0hA,0.09166666666666667
g3VgrgV3kFk,0.0
p7KHGUwqF24,0.0
fdpYWltgYMk,0.0
aHsfKnrNCG4,-0.625
CvpwGru3s7s,0.0
rO_mAQC9bv0,0.0
aujUl3yt6nM,0.0
xhBMUFDdiok,0.0
oddXT5uaRb8,0.0
D-DYWvnrFs8,0.0
AZQvPibYXRo,-0.4
UhZ56rcWwRQ,0.0
ai_UWoM37dI,0.0
LymuZ8abvmc,0.0
8mCcM-PUmLM,0.0
8sAApdJdG3A,-0.4
0s6-iFoCFNQ,0.0
aKPz583WRpQ,0.0875
n6xzsLDzyBk,0.13636363636363635
pVypbknP4A8,0.5
WXlr35jV3cw,0.0
XY5OYFc1tzU,0.2
PliRMGvytnA,-0.625
